title,block,item_sd
Carl's party,relevance,25.13357174321685
Dinosaurs,relevance,27.210489048999364
Dinosaurs,prior,25.976637855690917
Emails from a broken laptop,competence,41.54821952207514
Emails from a broken laptop,prior,33.24591567532633
Emails from a broken laptop,relevance,25.33484843954164
Eyewitness,prior,27.9332266577843
Eyewitness,relevance,25.261960863453705
Final exam,relevance,33.8188451268562
Final exam,competence,31.910309574538086
Gerald's graduation,competence,33.18684478323703
Gerald's graduation,prior,26.565527902288572
Gift unwrapping,relevance,28.075790282732914
Gift unwrapping,competence,25.578311124857326
Gigi's exams,competence,30.006059994001816
Gigi's exams,prior,28.886702103936308
Grandma,competence,33.698766803222505
Greg's movie,competence,25.82053446387197
Harry Potter,competence,36.30771267926417
Harry Potter,prior,30.805843601498726
Harvard admission exams,prior,27.27287157248983
Hotel check,prior,25.208653087306956
Joshua's delay,prior,27.35129625069727
Lily's husband,relevance,30.829793876641318
Martha's cookies,relevance,27.830638592106443
Martha's cookies,prior,25.196119630697986
Mrs. Gibbs' worry,relevance,45.43126676640219
Mrs. Sanders' son,relevance,26.61309671939828
Mrs. Sanders' son,competence,26.279660449855204
Picnic pictures,competence,28.841624186482385
Picnic pictures,relevance,25.269970885844497
Presents,relevance,34.16250756424246
Puzzles,prior,37.19350941840717
Restaurant,prior,45.00648101477534
Rotten tomatoes,competence,31.531831698402968
Star Trek expert,competence,40.62771358458547
Star Trek expert,prior,36.823905279043935
Swiss watch prototype testing,competence,26.674165612275694
The game,prior,28.022100121834107
The game,competence,27.41914520566832
Toby's carrots,competence,31.3016631770112
Tony's clubbing,competence,37.13653487096261
Tony's clubbing,relevance,33.89673861729014
Unexpected guest,relevance,50.017996761165875
Unexpected guest,competence,30.40888028191765
Unexpected guest,prior,27.706597690000763
Van Gogh exhibition,prior,28.032124428947586
Van Gogh exhibition,competence,26.96664606509308
